"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"N12","PB10","I/O","USB_OTG_HS_ULPI_D3","","","TIM2_CH3","","LPTIM2_IN1","I2C2_SCL","I2S2_CK/SPI2_SCK","DFSDM1_DATIN7","USART3_TX","","OCTOSPIM_P1_NCS","USB_OTG_HS_ULPI_D3","ETH_RX_ER","","","LTDC_G4","EVENTOUT"
"N13","PH8","I/O","","","","","TIM5_ETR","","I2C3_SDA","","","","","","","","FMC_D16","DCMI_HSYNC/PSSI_DE","LTDC_R2","EVENTOUT"
"N14","PH10","I/O","","","","","TIM5_CH1","","I2C4_SMBA","","","","","","","","FMC_D18","DCMI_D1/PSSI_D1","LTDC_R4","EVENTOUT"
"N15","PH12","I/O","","","","","TIM5_CH3","","I2C4_SDA","","","","","","","","FMC_D20","DCMI_D3/PSSI_D3","LTDC_R6","EVENTOUT"
"P1","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","TIM15_BKIN","I2S6_WS/SPI6_NSS","","USART2_CTS/USART2_NSS","UART4_TX","SDMMC2_CMD","SAI4_SD_B","ETH_CRS","FMC_A19","","","EVENTOUT"
"P2","PA1","I/O","ETH_REF_CLK","","","TIM2_CH2","TIM5_CH2","LPTIM3_OUT","TIM15_CH1N","","","USART2_DE/USART2_RTS","UART4_RX","OCTOSPIM_P1_IO3","SAI4_MCLK_B","ETH_REF_CLK/ETH_RX_CLK","OCTOSPIM_P1_DQS","","LTDC_R2","EVENTOUT"
"P3","PA1_C","I/O","ADC1_INP1","","","TIM2_CH2","TIM5_CH2","LPTIM3_OUT","TIM15_CH1N","","","USART2_DE/USART2_RTS","UART4_RX","OCTOSPIM_P1_IO3","SAI4_MCLK_B","ETH_REF_CLK/ETH_RX_CLK","OCTOSPIM_P1_DQS","","LTDC_R2",""
"P4","PH4","I/O","","","","","","","I2C2_SCL","","","","","LTDC_G5","USB_OTG_HS_ULPI_NXT","","","PSSI_D14","LTDC_G4","EVENTOUT"
"P5","PA4","I/O","","","","","TIM5_ETR","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","I2S6_WS/SPI6_NSS","","","","FMC_D8/FMC_DA8","DCMI_HSYNC/PSSI_DE","LTDC_VSYNC","EVENTOUT"
"P6","PA5","I/O","USB_OTG_HS_ULPI_CK","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","I2S6_CK/SPI6_SCK","","USB_OTG_HS_ULPI_CK","","FMC_D9/FMC_DA9","PSSI_D14","LTDC_R4","EVENTOUT"
"P7","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","SAI4_D1","SAI1_D1","","DFSDM1_CKIN1","","SAI1_SD_A","I2S3_SDO/SPI3_MOSI","SAI4_SD_A","OCTOSPIM_P1_CLK","OCTOSPIM_P1_DQS","ETH_TX_ER","","TIM23_ETR","","EVENTOUT"
